company,source_file,total_words,strategic_hits,operational_hits,operational_context_hits,gap_ratio,total_ai_mentions,strategic_per_10k,operational_per_10k,total_per_10k,classification
Bechtle,Bechtle.pdf,126914,32,4,0,6.4,36,2.521,0.315,2.837,Strategic-Dominant
Deutz AG,Deutz_AG.pdf,150379,3,0,0,3.0,3,0.199,0.0,0.199,AI-Silent
Krones,Krones.pdf,118070,9,2,1,3.0,11,0.762,0.169,0.932,AI-Silent
SUSS Microtec SE,SUSS MicroTec SE.pdf,120528,5,1,0,2.5,6,0.415,0.083,0.498,AI-Silent
Rational AG,Rational_AG.pdf,99997,2,0,0,2.0,2,0.2,0.0,0.2,AI-Silent
Secunet,Secunet.pdf,84814,12,5,2,2.0,17,1.415,0.59,2.004,Strategic-Dominant
Durr,Durr.pdf,170607,13,6,0,1.8571,19,0.762,0.352,1.114,Strategic-Dominant
Nemetscheck Group,Nemetscheck_Group.pdf,18406,17,9,1,1.7,26,9.236,4.89,14.126,Strategic-Dominant
Jenoptik,Jenoptik.pdf,126466,10,6,1,1.4286,16,0.791,0.474,1.265,Balanced
TRUMPF,TRUMPF.pdf,33804,8,6,0,1.1429,14,2.367,1.775,4.142,Balanced
ATOSS,ATOSS.pdf,88357,17,28,1,0.5862,45,1.924,3.169,5.093,Operational-Dominant
STRATEC SE,STRATEC_SE.pdf,100619,1,1,0,0.5,2,0.099,0.099,0.199,AI-Silent
Heidelberg Druckmaschinen,Heidelberg_Druckmaschinen.pdf,91513,2,9,1,0.2,11,0.219,0.983,1.202,Operational-Dominant
Dermapharm SE,Dermapharm_SE.pdf,78973,0,0,0,0.0,0,0.0,0.0,0.0,AI-Silent
Wacker Neuson,Wacker_Neuson.pdf,35717,0,0,0,0.0,0,0.0,0.0,0.0,AI-Silent
